topicId,period,word,weight
0,0,20592,0.0030354566050301767
0,0,5716,0.0026837333144214713
0,0,16012,0.0023712920473473818
0,0,1063,0.002168526479965107
0,0,1297,0.002147178699567549
0,0,348,0.0021074857975906212
0,0,6116,0.002096492628401092
0,0,106,0.0019956374496585935
0,0,663,0.001950458358600819
0,0,5728,0.0018558189625346151
1,0,22783,0.00378781372505424
1,0,470,0.0020675173939680327
1,0,635,0.0020277708883463413
1,0,5524,0.0018760331051981304
1,0,3518,0.0016792193769903842
1,0,845,0.0016585629487478192
1,0,115,0.001658380611795867
1,0,411,0.001635942991433521
1,0,399,0.001537188958389517
1,0,337,0.0015277060160089392
0,1,20592,0.0030445045095357716
0,1,5716,0.00269143323900882
0,1,16012,0.002377829532147735
0,1,1063,0.002174329289841924
0,1,1297,0.002152905134553731
0,1,348,0.0021130707384769145
0,1,6116,0.002102038501075698
0,1,106,0.0020008273727190654
0,1,663,0.0019554903162188994
0,1,5728,0.0018605231236553813
1,1,22783,0.003800411757933392
1,1,470,0.002073259051604113
1,1,635,0.0020333664934548273
1,1,5524,0.0018810777580312212
1,1,3518,0.001683566151097454
1,1,845,0.0016628376506231761
1,1,115,0.0016626546785149805
1,1,411,0.001640139037895746
1,1,399,0.0015410449872910743
1,1,337,0.001531529691521072
0,2,20592,0.003052254197091481
0,2,5716,0.0026980125145349013
0,2,16012,0.00238340098533599
0,2,1063,0.0021792646497151968
0,2,1297,0.0021577744114164967
0,2,348,0.0021178176114760635
0,2,6116,0.0021067515823264137
0,2,106,0.002005232690785186
0,2,663,0.0019597591213401824
0,2,5728,0.0018645087919326876
1,2,22783,0.0038113643316448976
1,2,470,0.0020782050688234978
1,2,635,0.0020381849936129564
1,2,5524,0.001885415476107626
1,2,3518,0.0016872955087696968
1,2,845,0.0016665042263759714
1,2,115,0.0016663207010256301
1,2,411,0.0016437371076643411
1,2,399,0.0015443470472178821
1,2,337,0.0015348035972950107
0,3,20592,0.0030595698753993995
0,3,5716,0.0027042328141906142
0,3,16012,0.002388677263232884
0,3,1063,0.0021839446291983472
0,3,1297,0.0021623924180085626
0,3,348,0.00212232081436334
0,3,6116,0.002111223088607655
0,3,106,0.0020094154528644366
0,3,663,0.00196381376860123
0,3,5728,0.001868297640248356
1,3,22783,0.003821579679011457
1,3,470,0.002082842254989261
1,3,635,0.002042703554038185
1,3,5524,0.0018894866570917615
1,3,3518,0.001690800285419514
1,3,845,0.0016699505285372794
1,3,115,0.0016697664878822895
1,3,411,0.0016471195987876794
1,3,399,0.001547453749019467
1,3,337,0.001537884062280079
0,4,20592,0.0030665117456127595
0,4,5716,0.002710145158745212
0,4,16012,0.0023937014780579663
0,4,1063,0.002188407347728116
0,4,1297,0.0021667967550338062
0,4,348,0.002126616986993601
0,4,6116,0.0021154893945122626
0,4,106,0.0020134096176030467
0,4,663,0.0019676871450113676
0,4,5728,0.0018719203329933454
1,4,22783,0.0038311418746585432
1,4,470,0.0020872082678901386
1,4,635,0.0020469588460282364
1,4,5524,0.0018933242528096173
1,4,3518,0.0016941087266375855
1,4,845,0.0016732043170641984
1,4,115,0.0016730197947626467
1,4,411,0.0016503137413265076
1,4,399,0.0015503900333242874
1,4,337,0.0015407958093736844
0,5,20592,0.0030727459701315593
0,5,5716,0.0027154525271254814
0,5,16012,0.002398209522661913
0,5,1063,0.002192410176838227
0,5,1297,0.002170747061239427
0,5,348,0.00213046998674707
0,5,6116,0.0021193155265155092
0,5,106,0.0020169909521391373
0,5,663,0.0019711598380939793
0,5,5728,0.0018751675740722774
1,5,22783,0.0038399090869887095
1,5,470,0.0020912183899839316
1,5,635,0.0020508675482103305
1,5,5524,0.0018968503134218703
1,5,3518,0.001697149954922547
